source,section,topic,key_fact,project_mapping,notes
NASA_NTRS_20090029214,overview,paper_scope,"Damage propagation modeling for aircraft engine run-to-failure simulation (C-MAPSS / PHM08 challenge data).",device_model=CMAPSS-Turbofan,Same technical content as NASA_Saxena_2008_CMAPSS_DamagePropagation.pdf
NASA_NTRS_20090029214,overview,fault_injection_method,"Faults / degradation are implanted by modifying rotating-module health parameters: flow modifiers and efficiency modifiers (and PR modifiers where applicable) on Fan LPC HPC HPT LPT.",health_params=*_flow_mod/*_eff_mod/*_PR_mod,Official NASA mechanism — not OEM FMEA tables
NASA_NTRS_20090029214,challenge_subsets,FD001,"1 operating condition; 1 fault mode = HPC Degradation.",fault_mode=HPC_Degradation,Primary seed for local FMEA / cases
NASA_NTRS_20090029214,challenge_subsets,FD002,"6 operating conditions; 1 fault mode = HPC Degradation.",fault_mode=HPC_Degradation,Same fault as FD001 with multi-condition ops
NASA_NTRS_20090029214,challenge_subsets,FD003,"1 operating condition; 2 fault modes = HPC Degradation + Fan Degradation.",fault_modes=HPC+Fan,Use when fan channels Nf/NRf/BPR also drift
NASA_NTRS_20090029214,challenge_subsets,FD004,"6 operating conditions; 2 fault modes = HPC Degradation + Fan Degradation.",fault_modes=HPC+Fan,Multi-condition + dual-module degradation
NASA_NTRS_20090029214,sensors,Table2_s1,"s1 / T2 — Total temperature at fan inlet.",feature=s1,Often near-constant in FD001; weak solo symptom
NASA_NTRS_20090029214,sensors,Table2_s2,"s2 / T24 — Total temperature at LPC outlet.",feature=s2,Typically increases under gas-path degradation
NASA_NTRS_20090029214,sensors,Table2_s3,"s3 / T30 — Total temperature at HPC outlet.",feature=s3,High-confidence HPC degradation signature (increase)
NASA_NTRS_20090029214,sensors,Table2_s4,"s4 / T50 — Total temperature at LPT outlet (EGT proxy).",feature=s4,Classic EGT rise under HPC/turbine efficiency loss
NASA_NTRS_20090029214,sensors,Table2_s5,"s5 / P2 — Pressure at fan inlet.",feature=s5,Often weak/constant in FD001
NASA_NTRS_20090029214,sensors,Table2_s6,"s6 / P15 — Total pressure in bypass duct.",feature=s6,Often weak/constant in FD001
NASA_NTRS_20090029214,sensors,Table2_s7,"s7 / P30 — Total pressure at HPC outlet.",feature=s7,May decrease as compressor performance drops
NASA_NTRS_20090029214,sensors,Table2_s8,"s8 / Nf — Physical fan speed.",feature=s8,Sensitive under Fan Degradation (FD003/FD004)
NASA_NTRS_20090029214,sensors,Table2_s9,"s9 / Nc — Physical core speed.",feature=s9,Often increases when controller holds thrust
NASA_NTRS_20090029214,sensors,Table2_s10,"s10 / epr — Engine pressure ratio (P50/P2).",feature=s10,Pressure-ratio related; may be weak alone
NASA_NTRS_20090029214,sensors,Table2_s11,"s11 / Ps30 — Static pressure at HPC outlet.",feature=s11,Often rises with closed-loop fuel schedule compensation
NASA_NTRS_20090029214,sensors,Table2_s12,"s12 / phi — Fuel flow to Ps30 ratio.",feature=s12,High-confidence: more fuel needed as efficiency drops
NASA_NTRS_20090029214,sensors,Table2_s13,"s13 / NRf — Corrected fan speed.",feature=s13,Fan-module health tracker
NASA_NTRS_20090029214,sensors,Table2_s14,"s14 / NRc — Corrected core speed.",feature=s14,Tracks core speed correction under degradation
NASA_NTRS_20090029214,sensors,Table2_s15,"s15 / BPR — Bypass ratio.",feature=s15,Often decreases with fan flow loss / matching change
NASA_NTRS_20090029214,sensors,Table2_s16,"s16 / farB — Burner fuel-air ratio.",feature=s16,Often weak/constant in FD001
NASA_NTRS_20090029214,sensors,Table2_s17,"s17 / htBleed — Bleed enthalpy.",feature=s17,Common trending hot-section related channel
NASA_NTRS_20090029214,sensors,Table2_s18,"s18 / Nf_dmd — Demanded fan speed.",feature=s18,Command channel; usually weak as symptom alone
NASA_NTRS_20090029214,sensors,Table2_s19,"s19 / PCNfR_dmd — Demanded corrected fan speed.",feature=s19,Command channel; usually weak as symptom alone
NASA_NTRS_20090029214,sensors,Table2_s20,"s20 / W31 — HPT coolant bleed.",feature=s20,Cooling schedule often rises with hotter gas path
NASA_NTRS_20090029214,sensors,Table2_s21,"s21 / W32 — LPT coolant bleed.",feature=s21,Cooling schedule often rises with hotter gas path
NASA_NTRS_20090029214,damage_model,exponential_trajectory,"Damage is modeled as exponential deterioration trajectories on selected module flow and/or efficiency modifiers until failure.",mechanism=run-to-failure health decay,Basis for RUL / progressive symptom drift
NASA_NTRS_20090029214,damage_model,health_index,"System health index H(t) uses operable margins (e.g. fan / HPC / HPT / EGT-related); failure when H(t) reaches 0.",failure_criterion=H(t)=0,Links efficiency loss to EGT margin erosion
NASA_NTRS_20090029214,signatures,HPC_Degradation_primary,"Expected sensor directions for HPC degradation under thrust hold: s3↑ s4↑ s12↑ s9↑/s14↑; s7 may↓; s11/s17/s20/s21 often↑; s2↑ common.",symptom_signature=s3↑;s4↑;s12↑;s9↑;s14↑,Aligns with knowledge/fmea/CMAPSS-Turbofan-fmea.csv
NASA_NTRS_20090029214,signatures,Fan_Degradation_addon,"Fan degradation adds / strengthens: s8↑/abnormal s13↑/abnormal s15↓; T50 (s4) may still↑ due to thrust-hold fuel increase.",symptom_signature=s8↑;s13↑;s15↓;s4↑,FD003/FD004 dual-fault signature
NASA_NTRS_20090029214,signatures,response_surface,"Paper provides sensor response surfaces vs module flow & efficiency (e.g. EGT vs efficiency/flow). These are the physics basis for fault→sensor mapping.",use_for=RAG causal grounding,Strongest official NASA source for signature shape
NASA_NTRS_20090029214,rag_usage,indusmind_role,"Use this CSV when NTRS PDF cannot be indexed. Prefer NASA Saxena Table-2 sensor ids s1..s21; do not use docs draft aliases s11=EGT/s14=FF/s15=PR.",alias_remap=docs_s11→s4 docs_s14→s12 docs_s15→s10,See knowledge/model_meta/cmapss-feature-definitions.json
